Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,08,Eggplant seeds or seedlings,10151508,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,09,Endive seeds or seedlings,10151509,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,10,Garlic seeds or seedlings,10151510,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,11,Leek seeds or seedlings,10151511,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,12,Lettuce seeds or seedlings,10151512,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,13,Corn seeds or seedlings,10151513,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,14,Melon seeds or seedlings,10151514,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,15,Onion seeds or seedlings,10151515,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,16,Soya seeds or seedlings,10151516,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,17,Spinach seeds or seedlings,10151517,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,18,Tomato seeds or seedlings,10151518,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,19,Turnip seeds or seedlings,10151519,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,20,Chard seeds or seedlings,10151520,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,21,Sweet pepper seeds or seedlings,10151521,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,22,Beet seeds or seedlings,10151522,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,23,Cauliflower seeds or seedlings,10151523,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,24,Parsely seeds or seedlings,10151524,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,25,Broccoli seeds or seedlings,10151525,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,26,Cabbage seeds or seedlings,10151526,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,27,Potato seeds or seedlings,10151527,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,28,Sweet potato seeds or seedlings,10151528,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,29,Pumpkin seeds or seedlings,10151529,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,30,Radish seeds or seedlings,10151530,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,31,Brussel sprout seeds or seedlings,10151531,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,32,Squash seeds or seedlings,10151532,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,33,Okra seeds or seedlings,10151533,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,34,Cantaloupe seeds or seedlings,10151534,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,35,Peanut seeds or seedlings,10151535,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,01,Wheat seeds,10151601,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,02,Colza seeds,10151602,,
